Company,Stage,Sector,Round Size,Warp Check Target,Owner,Source,First Contact,Last Activity,ARR,Growth,Key Concern,Next Step
Slate AI,Sourcing,AI/ML,12000000,3000000,Jordan,Inbound,2026-04-10,2026-04-12,Unknown,Unknown,NeuralFlow overlap,Internal competitive mapping
RootKit Dev,Sourcing,Developer Tools,5000000,2000000,Sam,YC intro,2026-04-11,2026-04-11,60000,Unknown,Small team,Initial call scheduled Apr 15
Meridian Carbon,Sourcing,Climate,6000000,2500000,Rafael,LP referral,2026-04-09,2026-04-09,0,Unknown,Hardware burn,Founder intro call
FlowBase,Sourcing,Data Infra,4000000,2000000,Jordan,Cold inbound,2026-04-12,2026-04-12,0,Unknown,Crowded space,Review deck
Synthica,First Look,AI/ML,18000000,5000000,Jordan,Sequoia pass,2026-04-07,2026-04-10,1200000,180%,Regulatory moat,Partner meeting request
Comet Build,First Look,Developer Tools,5000000,2000000,Sam,TC Disrupt,2026-04-05,2026-04-08,60000,Unknown,OSS monetization,Deep dive call Apr 16
Verdant Grid,First Look,Climate,20000000,4000000,Rafael+Priya,Climate Week,2026-04-03,2026-04-10,800000,120%,Long sales cycles,Partner meeting Apr 17
Axon Finance,Partner Meeting,Fintech,30000000,6000000,Sam,Goldman,2026-03-28,2026-04-05,4200000,110% NRR,MintLayer conflict — 6 BD stale,⚠️ Decision needed at Wed partner mtg — move to DD or pass
Arch Deploy,Partner Meeting,DevOps,15000000,4000000,Jordan,YC intro,2026-03-25,2026-04-01,2100000,95%,GitHub Copilot threat — 8 BD stale,⚠️ Schedule market sizing session this week or stage review
Kairos Vision,Due Diligence,AI/ML,22000000,5000000,Jordan+Maya,a16z pass,2026-03-15,2026-04-11,1800000,200%,Channel conflict,Reference calls + legal review — close out this week
Stackwise,Term Sheet,DevOps,6000000,3000000,Sam,Fellowship,2026-03-05,2026-04-02,180000,35% MoM,🔴 7 BD no activity — close Apr 18,⚠️ Sam calls founder TODAY — confirm term sheet status before Wed
